record,donor_type,acceptor_type,n_hbonds,n_uniq_donors,n_uniq_acceptors,ratio_donor_busy,ratio_acceptor_busy
63,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
64,amide_donor,amide_O,27,26,25,0.4062,0.3906
64,amide_donor,hydroxyl_O,19,19,19,0.2969,0.2969
64,hydroxyl,amide_O,42,42,36,0.6562,0.5625
64,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
65,amide_donor,amide_O,27,26,27,0.4062,0.4219
65,amide_donor,hydroxyl_O,25,25,23,0.3906,0.3594
65,hydroxyl,amide_O,40,40,34,0.6250,0.5312
65,hydroxyl,hydroxyl_O,13,13,13,0.2031,0.2031
66,amide_donor,amide_O,25,25,25,0.3906,0.3906
66,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
66,hydroxyl,amide_O,38,38,35,0.5938,0.5469
66,hydroxyl,hydroxyl_O,17,17,16,0.2656,0.2500
67,amide_donor,amide_O,24,24,24,0.3750,0.3750
67,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
67,hydroxyl,amide_O,39,39,35,0.6094,0.5469
67,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
68,amide_donor,amide_O,24,24,23,0.3750,0.3594
68,amide_donor,hydroxyl_O,26,26,25,0.4062,0.3906
68,hydroxyl,amide_O,41,41,36,0.6406,0.5625
68,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
69,amide_donor,amide_O,25,24,23,0.3750,0.3594
69,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
69,hydroxyl,amide_O,38,38,36,0.5938,0.5625
69,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
70,amide_donor,amide_O,28,27,26,0.4219,0.4062
70,amide_donor,hydroxyl_O,24,24,22,0.3750,0.3438
70,hydroxyl,amide_O,40,40,35,0.6250,0.5469
70,hydroxyl,hydroxyl_O,18,17,18,0.2656,0.2812
71,amide_donor,amide_O,29,28,27,0.4375,0.4219
71,amide_donor,hydroxyl_O,20,20,20,0.3125,0.3125
71,hydroxyl,amide_O,39,39,34,0.6094,0.5312
71,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
72,amide_donor,amide_O,30,29,27,0.4531,0.4219
72,amide_donor,hydroxyl_O,21,21,21,0.3281,0.3281
72,hydroxyl,amide_O,40,40,35,0.6250,0.5469
72,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
73,amide_donor,amide_O,28,27,26,0.4219,0.4062
73,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
73,hydroxyl,amide_O,43,43,38,0.6719,0.5938
73,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
74,amide_donor,amide_O,29,27,27,0.4219,0.4219
74,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
74,hydroxyl,amide_O,40,40,34,0.6250,0.5312
74,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
75,amide_donor,amide_O,27,26,25,0.4062,0.3906
75,amide_donor,hydroxyl_O,20,20,18,0.3125,0.2812
75,hydroxyl,amide_O,43,43,36,0.6719,0.5625
75,hydroxyl,hydroxyl_O,13,13,13,0.2031,0.2031
76,amide_donor,amide_O,28,27,26,0.4219,0.4062
76,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
76,hydroxyl,amide_O,41,41,36,0.6406,0.5625
76,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
77,amide_donor,amide_O,25,25,23,0.3906,0.3594
77,amide_donor,hydroxyl_O,24,24,22,0.3750,0.3438
77,hydroxyl,amide_O,41,41,36,0.6406,0.5625
77,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
78,amide_donor,amide_O,23,23,23,0.3594,0.3594
78,amide_donor,hydroxyl_O,24,24,22,0.3750,0.3438
78,hydroxyl,amide_O,41,41,37,0.6406,0.5781
78,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
79,amide_donor,amide_O,23,23,23,0.3594,0.3594
79,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
79,hydroxyl,amide_O,42,42,37,0.6562,0.5781
79,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
80,amide_donor,amide_O,24,24,23,0.3750,0.3594
80,amide_donor,hydroxyl_O,19,19,19,0.2969,0.2969
80,hydroxyl,amide_O,42,42,36,0.6562,0.5625
80,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
81,amide_donor,amide_O,25,25,24,0.3906,0.3750
81,amide_donor,hydroxyl_O,22,22,20,0.3438,0.3125
81,hydroxyl,amide_O,40,40,36,0.6250,0.5625
81,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
82,amide_donor,amide_O,23,23,23,0.3594,0.3594
82,amide_donor,hydroxyl_O,25,25,24,0.3906,0.3750
82,hydroxyl,amide_O,39,39,35,0.6094,0.5469
82,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
83,amide_donor,amide_O,27,27,26,0.4219,0.4062
83,amide_donor,hydroxyl_O,28,27,26,0.4219,0.4062
83,hydroxyl,amide_O,40,40,36,0.6250,0.5625
83,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
84,amide_donor,amide_O,24,24,23,0.3750,0.3594
84,amide_donor,hydroxyl_O,20,20,20,0.3125,0.3125
84,hydroxyl,amide_O,39,39,35,0.6094,0.5469
84,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
85,amide_donor,amide_O,27,27,25,0.4219,0.3906
85,amide_donor,hydroxyl_O,21,21,19,0.3281,0.2969
85,hydroxyl,amide_O,38,38,35,0.5938,0.5469
85,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
86,amide_donor,amide_O,26,25,24,0.3906,0.3750
86,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
86,hydroxyl,amide_O,37,37,35,0.5781,0.5469
86,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
87,amide_donor,amide_O,27,26,26,0.4062,0.4062
87,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
87,hydroxyl,amide_O,38,38,36,0.5938,0.5625
87,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
88,amide_donor,amide_O,25,25,25,0.3906,0.3906
88,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
88,hydroxyl,amide_O,38,38,36,0.5938,0.5625
88,hydroxyl,hydroxyl_O,18,18,17,0.2812,0.2656
89,amide_donor,amide_O,24,24,24,0.3750,0.3750
89,amide_donor,hydroxyl_O,19,19,19,0.2969,0.2969
89,hydroxyl,amide_O,40,40,36,0.6250,0.5625
89,hydroxyl,hydroxyl_O,16,15,15,0.2344,0.2344
90,amide_donor,amide_O,25,25,24,0.3906,0.3750
90,amide_donor,hydroxyl_O,23,23,22,0.3594,0.3438
90,hydroxyl,amide_O,40,40,35,0.6250,0.5469
90,hydroxyl,hydroxyl_O,16,16,16,0.2500,0.2500
91,amide_donor,amide_O,28,28,28,0.4375,0.4375
91,amide_donor,hydroxyl_O,21,21,21,0.3281,0.3281
91,hydroxyl,amide_O,36,36,35,0.5625,0.5469
91,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
92,amide_donor,amide_O,25,24,24,0.3750,0.3750
92,amide_donor,hydroxyl_O,20,20,18,0.3125,0.2812
92,hydroxyl,amide_O,38,38,35,0.5938,0.5469
92,hydroxyl,hydroxyl_O,17,17,17,0.2656,0.2656
93,amide_donor,amide_O,29,28,27,0.4375,0.4219
93,amide_donor,hydroxyl_O,21,21,21,0.3281,0.3281
93,hydroxyl,amide_O,42,42,37,0.6562,0.5781
93,hydroxyl,hydroxyl_O,12,12,12,0.1875,0.1875
94,amide_donor,amide_O,27,27,25,0.4219,0.3906
94,amide_donor,hydroxyl_O,24,24,22,0.3750,0.3438
94,hydroxyl,amide_O,40,40,35,0.6250,0.5469
94,hydroxyl,hydroxyl_O,15,15,15,0.2344,0.2344
95,amide_donor,amide_O,26,25,24,0.3906,0.3750
95,amide_donor,hydroxyl_O,25,25,23,0.3906,0.3594
95,hydroxyl,amide_O,41,41,36,0.6406,0.5625
95,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
96,amide_donor,amide_O,26,26,26,0.4062,0.4062
96,amide_donor,hydroxyl_O,23,23,21,0.3594,0.3281
96,hydroxyl,amide_O,40,40,35,0.6250,0.5469
96,hydroxyl,hydroxyl_O,14,14,14,0.2188,0.2188
97,amide_donor,amide_O,28,27,26,0.4219,0.4062
97,amide_donor,hydroxyl_O,20,20,19,0.3125,0.2969
97,hydroxyl,amide_O,38,38,35,0.5938,0.5469
97,hydroxyl,hydroxyl_O,12,12,12,0.1875,0.1875
98,amide_donor,amide_O,26,26,25,0.4062,0.3906
98,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
98,hydroxyl,amide_O,40,40,35,0.6250,0.5469
98,hydroxyl,hydroxyl_O,17,17,16,0.2656,0.2500
99,amide_donor,amide_O,26,26,25,0.4062,0.3906
99,amide_donor,hydroxyl_O,25,24,24,0.3750,0.3750
99,hydroxyl,amide_O,38,38,35,0.5938,0.5469
99,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
100,amide_donor,amide_O,23,23,22,0.3594,0.3438
100,amide_donor,hydroxyl_O,22,22,21,0.3438,0.3281
100,hydroxyl,amide_O,37,37,35,0.5781,0.5469
100,hydroxyl,hydroxyl_O,18,18,18,0.2812,0.2812
